cidade,mes_referencia,timestamp,ortodontia,clinico_geral,profilaxia,restauracao,avaliacoes_novas
SS do Caí,2026-03,2026-03-10T12:52:59.864524,clinico_geral,,,,
SS do Caí,2026-03,2026-03-10T12:52:59.864524,avaliacoes_google,,,,
SS do Caí,2026-03,2026-03-10T12:52:59.864524,meta_avaliacao,,,,
SS do Caí,2026-03,2026-03-10T12:52:59.864524,meta_profilaxia,,,,
SS do Caí,2026-03,2026-03-10T12:52:59.864524,meta_restauracao,,,,
Flores,2026-03,2026-03-10T12:53:10.913727,ortodontia,,,,
Flores,2026-03,2026-03-10T12:53:10.913727,clinico_geral,,,,
Flores,2026-03,2026-03-10T12:53:10.913727,avaliacoes_google,,,,
Flores,2026-03,2026-03-10T12:53:10.913727,meta_avaliacao,,,,
Flores,2026-03,2026-03-10T12:53:10.913727,meta_profilaxia,,,,
Flores,2026-03,2026-03-10T12:53:10.913727,meta_restauracao,,,,
Caxias,2026-03,2026-03-10T13:37:16.164933,ortodontia,,,,
Caxias,2026-03,2026-03-10T13:37:16.164933,clinico_geral,,,,
Caxias,2026-03,2026-03-10T13:37:16.164933,avaliacoes_google,,,,
Caxias,2026-03,2026-03-10T13:37:16.164933,meta_avaliacao,,,,
Caxias,2026-03,2026-03-10T13:37:16.164933,meta_profilaxia,,,,
Caxias,2026-03,2026-03-10T13:37:16.164933,meta_restauracao,,,,
Farroupilha,2026-03,2026-03-10T13:37:25.894889,ortodontia,,,,
Farroupilha,2026-03,2026-03-10T13:37:25.894889,clinico_geral,,,,
Farroupilha,2026-03,2026-03-10T13:37:25.894889,avaliacoes_google,,,,
Farroupilha,2026-03,2026-03-10T13:37:25.894889,meta_avaliacao,,,,
Farroupilha,2026-03,2026-03-10T13:37:25.894889,meta_profilaxia,,,,
Farroupilha,2026-03,2026-03-10T13:37:25.894889,meta_restauracao,,,,
Bento,2026-03,2026-03-10T13:37:35.560965,ortodontia,,,,
Bento,2026-03,2026-03-10T13:37:35.560965,clinico_geral,,,,
Bento,2026-03,2026-03-10T13:37:35.560965,avaliacoes_google,,,,
Bento,2026-03,2026-03-10T13:37:35.560965,meta_avaliacao,,,,
Bento,2026-03,2026-03-10T13:37:35.560965,meta_profilaxia,,,,
Bento,2026-03,2026-03-10T13:37:35.560965,meta_restauracao,,,,
Encantado,2026-03,2026-03-10T13:37:45.326183,ortodontia,,,,
Encantado,2026-03,2026-03-10T13:37:45.326183,clinico_geral,,,,
Encantado,2026-03,2026-03-10T13:37:45.326183,avaliacoes_google,,,,
Encantado,2026-03,2026-03-10T13:37:45.326183,meta_avaliacao,,,,
Encantado,2026-03,2026-03-10T13:37:45.326183,meta_profilaxia,,,,
Encantado,2026-03,2026-03-10T13:37:45.326183,meta_restauracao,,,,
